appName,hasConfig,pinSetCount,expiringPinSetCount,hasBaseConfig,hasBaseConfigClear,hasBaseConfigTrustAnchors,hasBaseConfigUserCerts,hasBaseConfigSystemCerts,hasBaseConfigCustomCerts,baseConfigCustomCertCount,hasDomainConfigs,domainConfigsPermitClear,domainConfigsNestedPermitClear,hasDebugOverrides,hasDebugUserCerts,hasDebugSystemCerts,hasDebugCustomCerts,debugCustomCertCount
com.animetv.animetvonline.us2002,True,0,0,True,True,True,False,True,False,0,True,True,False,False,False,False,False,0
com.pixlr.express,True,0,0,True,True,True,False,True,False,0,True,True,False,False,False,False,False,0
at.asfinag.unterwegs,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.trello,True,0,0,True,True,False,False,False,False,0,True,False,False,False,False,False,False,0
com.securitycentery,True,0,0,True,True,True,False,True,False,0,True,True,False,False,False,False,False,0
menloseweight.loseweightappformen.weightlossformen,True,0,0,True,True,False,False,False,False,0,False,False,False,False,False,False,False,0
at.dieschmiede.eatsmarter,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.Top100ringtones2020.Ringtones2020.ringtones2020,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.livesatelliteview.streetview.livecams.gpsnavigation.areafinder,True,0,0,True,True,True,False,True,False,0,True,True,False,False,False,False,False,0
com.foodient.whisk,True,0,0,True,True,False,False,False,False,0,False,False,False,True,True,False,False,0
at.radio.android,True,0,0,True,True,True,False,True,False,0,False,False,False,True,True,False,False,0
plus.home_connect.android,True,0,0,True,True,False,False,False,False,0,True,False,False,False,False,False,False,0
com.cisco.wx2.android,True,0,0,True,False,True,True,True,False,0,False,False,False,False,False,False,False,0
xyz.youworkshop.collagemaker,True,0,0,True,True,False,False,False,False,0,True,False,False,False,False,False,False,0
com.Vcoders.axtasliyat,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.photocollage.collage.maker.photoframes.photoeditor,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.procreatepaint.procreate.tips,True,0,0,True,True,False,False,False,False,0,True,True,False,False,False,False,False,0
co.windyapp.android,True,0,0,False,False,False,False,False,False,0,True,True,False,True,True,True,False,0
com.devolo.dlan2,True,0,0,True,True,True,False,True,False,0,False,False,False,False,False,False,False,0
com.music.mp3.downloader.free.download.tube.play,True,0,0,True,True,False,False,False,False,0,True,True,False,False,False,False,False,0
com.disney.disneyplus,True,0,0,True,True,True,False,True,True,1,False,False,False,True,True,False,False,0
com.hcceg.veg.compassionfree,True,0,0,True,False,True,False,True,False,0,True,True,False,False,False,False,False,0
at.orf.teletext,True,0,0,True,True,False,False,False,False,0,True,True,False,False,False,False,False,0
com.mobileab.b2app2,True,0,0,True,True,True,False,True,False,0,True,True,False,False,False,False,False,0
at.ottoversand.shop,True,0,0,False,False,False,False,False,False,0,False,False,False,True,True,False,False,0
at.orf.android.orfniederoesterreich,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
at.ivb.scout,True,0,0,True,True,False,False,False,False,0,False,False,False,True,True,True,False,0
com.joom,True,0,0,True,False,True,False,True,False,0,False,False,False,False,False,False,False,0
br.com.rodrigokolb.realguitar,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
com.dsrtech.macho,True,0,0,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0
